name,distance,time,elevation_gain,moving_time,average_heartrate,max_heartrate
Jogging over to watch the Knicks game,1.8075061019,2024-05-19T19:43:39Z,16,1016,142.2,158
BK half,13.238247017900001,2024-05-18T11:02:04Z,82,5318,160.3,184
30 min shakeout 🧂,3.3741688042,2024-05-17T13:10:32Z,12,1580,151.9,171
So rainy,3.9805647631000003,2024-05-15T22:56:33Z,12,1857,142.1,159
Resy run with Eric,7.6834388263,2024-05-14T22:00:55Z,91,4086,147.9,169
Race week!,4.5532202767,2024-05-13T21:30:57Z,17,2409,146.4,161
Breezy and easy 45 minutes,5.2431906351,2024-05-12T23:12:26Z,17,2730,150.6,161
Wd,2.0525748243,2024-05-11T15:56:43Z,6,994,154.2,169
Progressive effort with the new kicks,9.1047007146,2024-05-11T14:47:27Z,39,3749,170.6,191
Hope BK Half has weather this coool,4.8227710165,2024-05-10T22:30:23Z,10,2388,144.1,159
Postwork run w Graham,8.0540866278,2024-05-09T21:23:01Z,19,3701,156.3,172
Way too warm,5.2035471653,2024-05-08T22:50:02Z,25,2582,146.7,164
Steasy run with Eric,7.5696036591,2024-05-07T21:00:55Z,92,4023,149,169
Late night long runs hit different,11.0322556937,2024-05-05T23:48:23Z,139,5022,166.4,189
Blasting the new Kendrick song,5.2285262795000005,2024-05-04T19:33:28Z,34,2479,146.8,163
QLR: Quick Lunch Run,4.6678632262,2024-05-03T16:17:08Z,10,2143,157.5,170
Afterwork run,7.096118957100001,2024-05-01T21:23:03Z,22,3380,153.7,174
Wsh10k. ankles feeling great,6.2848569795,2024-04-30T22:58:18Z,18,2885,154.6,168
Bum ankles - Tight Calves,0,2024-04-30T01:19:57Z,0,620,,
Warmday jog,5.2487829741,2024-04-29T22:32:17Z,47,2645,154.6,171
Jog to friend's art show. I'll pick up the run later,0.6040347491,2024-04-29T21:56:39Z,21,325,131.4,149
Hour steady pace,8.111501308200001,2024-04-28T15:00:30Z,67,3760,155.8,177
Legs still sore!,4.5721720922,2024-04-26T21:15:43Z,22,2332,140.1,162
Tough tough Kettlebell workout thanks to John,0,2024-04-24T17:19:02Z,0,2322,117.1,160
Quick ez WFH run,4.631575159800001,2024-04-24T14:09:08Z,7,2277,149.4,167
Post work jog,7.034541091,2024-04-23T21:32:58Z,27,3117,152.9,170
Later sunset 🌇 later run 🏃,5.3888399975,2024-04-22T23:10:42Z,20,2573,149.7,169
Warmdown,4.1803976767,2024-04-21T12:31:05Z,61,2253,143.4,164
LIC -> CP race,6.6388520382000005,2024-04-21T11:37:25Z,110,2731,159.5,180
Ankle Stability and Strength,0,2024-04-19T20:23:26Z,0,146,,
First time back in central park since the sprain...it's so green 🍃,5.0426742134,2024-04-19T19:23:21Z,72,2492,153.3,172
Evening Run,7.034541091,2024-04-18T23:24:45Z,35,3155,147.2,175
Steasy 5 miles,5.0749855054,2024-04-17T22:13:18Z,15,2481,149.1,166
Pretty warm out there,6.871493340600001,2024-04-15T23:09:55Z,12,3154,143.6,167
Run2AfterParty,0.5249342208,2024-04-13T15:34:52Z,5.5,228,,
Pats run 2024. 3rd place out of 380,4.1024777533000005,2024-04-13T14:55:24Z,0,1604,,
Lighthouse run,4.3637021217,2024-04-12T18:37:30Z,43,2029,140.9,164
Morning Swim,0.5681816424,2024-04-12T13:12:41Z,0,726,93.6,146
Sweaty 10k,6.2701926239,2024-04-11T21:37:37Z,24,2844,147.4,171
wsh is a party,4.6042969729,2024-04-09T22:00:42Z,7,2092,148.3,174
Small steps,6.1011797118999995,2024-04-08T22:43:01Z,24,2932,146.4,168
Building back up slowly. Watching out for potholes.,4.5283654367,2024-04-07T20:22:32Z,37,2063,150.7,173
Recovering from a gnarly ankle sprain,2.5130728724,2024-04-06T14:00:04Z,35,1918,,
Sprained my ankle 😕🤕,2.7962937742,2024-03-31T16:52:31Z,273.4,7516,,
....that felt hard,14.790618187200002,2024-03-30T16:38:31Z,221,6498,160.3,183
Morning Swim,0.5681816424,2024-03-29T13:11:49Z,0,668,101.3,135
Rainy run ☔,5.3170095099,2024-03-28T21:55:45Z,12,2773,146.3,163
Too sore!,6.9262982628,2024-03-27T20:55:13Z,24,2964,147.7,170
Slow cookin,9.188026565700001,2024-03-26T23:12:46Z,98,4885,147.5,165
Longest run in a while,15.532659435400001,2024-03-24T16:13:00Z,216,7058,157,174
Sweating hard. 40 min treadmill sesh,4.5000309191,2024-03-23T19:53:52Z,0,2400,,
Wore the Brooks everyday this week,6.3158633924,2024-03-22T20:08:42Z,25,3021,148.9,164
7pm chilly sunset,8.2268277658,2024-03-21T22:47:30Z,179,3834,155.6,175
Steady effort,5.176641801,2024-03-19T22:22:19Z,64,2457,158.5,173
Afternoon Run,1.0443382397,2024-03-19T21:24:51Z,76,539,134.3,156
40 min recovery effort,4.9504006199,2024-03-18T21:50:11Z,13,2524,151,163
Wd 45 ✔️,2.8929169647,2024-03-17T22:04:44Z,16,1383,154.6,171
Let's get fit again,10.1732102862,2024-03-17T20:50:43Z,45,4138,159.1,186
Perfect weather for a 35 min steady effort,4.6110077796999995,2024-03-16T14:57:09Z,85,2105,159.4,172
Evening Run,0.856870609,2024-03-15T22:37:13Z,7,594,133.9,146
Absolutely locked in 🔒,5.1502335335,2024-03-15T21:42:10Z,64,2972,139.7,156
Wd,1.2126055065,2024-03-14T22:36:01Z,13,619,153.3,161
Getting down there again ⤵️,5.1389867184,2024-03-14T21:54:36Z,62,2067,164.7,183
Warmup with Lily,0.9147202490999999,2024-03-14T21:41:55Z,15,574,133.3,145
Good weather good vibes,7.6757338259,2024-03-13T22:04:06Z,81,3812,150.7,165
Active recovery miles,6.5579495340000005,2024-03-11T23:38:21Z,98,3603,140.6,170
ProcrastiLongRun,11.6195134258,2024-03-10T23:41:25Z,229,5353,153.4,170
Treadmill run no Garmin,3.5999750256000005,2024-03-09T16:12:29Z,0,1800,,
Queens 👑,4.3530145405,2024-03-08T20:53:26Z,28,2123,150.9,170
50 butterfly for time,0.014229395899999999,2024-03-08T15:27:47Z,0,28,119.3,122
Morning Swim with the squad,0.1562748065,2024-03-08T14:12:57Z,0,199,103.1,131
Wd,1.28623797,2024-03-07T23:26:19Z,5,636,153,161
Locked 🔐 in 🔐,7.0076357267,2024-03-07T22:32:51Z,32,2972,153.5,184
Struggle miles,6.7017347834,2024-03-05T22:39:57Z,87,3377,150.2,173
